estimator,mine,obp_py39,rel_diff_obp_py39,match_obp_py39,sbobp_py312,rel_diff_sbobp_py312,match_sbobp_py312
# track obp_py39: obp_version=0.5.7, python=3.9.6, numpy=1.23.5
# track sbobp_py312: obp_version=0.5.5, python=3.12.13, numpy=1.26.4
dm,0.607785123661023,0.607785123661023,1.827e-16,True,0.607785123661023,1.827e-16,True
ips,0.712253723925891,0.712253723925891,0.000e+00,True,0.712253723925891,0.000e+00,True
snips,0.714149461989759,0.714149461989759,3.109e-16,True,0.714149461989759,3.109e-16,True
clipped_ips,0.692657324007249,0.692657324007249,1.603e-16,True,0.692657324007249,1.603e-16,True
dr,0.714619562520945,0.714619562520945,3.107e-16,True,0.714619562520945,3.107e-16,True
switch_dr,0.695628369758013,0.695628369758013,1.596e-16,True,0.695628369758013,1.596e-16,True
dros,0.678645034690406,0.678645034690405,1.636e-16,True,0.678645034690405,1.636e-16,True
# rel_tol=1e-08, gate=point-estimates-only, verdict=GO
